circ_id	SRR1297303	SRR1297304	SRR1297305	SRR1297306	SRR1297307	SRR1297308	SRR1297309	SRR1297310	SRR1297311	SRR1297312	SRR1297313	SRR1297314	SRR1297315	SRR1297316	SRR1297317
10:45939360-45962994	0	1	3	0	0	1	0	1	0	2	0	0	4	1	0
10:45975453-45988847	2	0	0	6	2	1	0	0	2	1	1	0	1	1	0
10:45982522-45988847	2	0	2	0	0	0	0	1	1	1	0	0	3	0	0
10:46010222-46011206	0	0	0	1	0	0	0	2	2	0	1	0	0	0	0
10:46010674-46010851	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
10:46794726-46798168	0	2	1	0	0	0	1	1	1	0	2	2	0	0	0
10:46795805-46798168	0	3	2	2	2	0	2	1	2	1	4	1	3	2	0
10:47542166-47544529	1	1	0	1	0	1	3	1	2	1	1	1	1	0	0
10:48050281-48052644	1	0	3	3	0	0	2	1	2	1	1	0	1	0	0
10:48050281-48053735	2	4	1	0	0	0	1	0	0	0	1	0	3	0	0
10:48083803-48119455	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
10:4830674-4847660	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
10:4830674-4873307	0	0	1	2	1	0	1	0	0	0	0	0	0	0	1
10:4830674-4908420	1	0	0	0	1	1	0	1	2	0	0	0	0	0	0
10:4830674-4909606	1	0	0	0	0	0	1	1	1	1	1	1	0	4	0
10:48401611-48404981	0	1	0	2	0	1	0	0	0	0	1	0	0	0	0
10:48401611-48410168	4	2	4	8	1	1	1	6	3	4	3	1	2	2	0
10:48890578-48901863	2	0	0	1	1	0	0	2	0	0	0	0	0	0	0
10:49493116-49506012	1	0	0	0	1	0	0	1	0	0	0	0	2	0	0
10:49500537-49506012	2	0	0	1	1	0	3	1	0	1	1	1	1	0	1
10:49524032-49528525	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1
10:49857305-49869555	0	0	1	0	0	1	2	0	3	0	1	2	0	0	1
10:49879672-49935142	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0
10:49915916-49935142	0	1	1	5	0	2	2	2	3	2	0	0	1	2	1
10:49932099-49935142	3	0	1	0	0	0	0	1	0	0	0	0	1	0	0
10:49952125-49958480	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0
10:50069546-50080931	2	1	1	1	0	0	0	0	2	4	2	0	3	0	0
10:50078674-50080931	2	0	0	0	0	0	1	0	0	0	0	0	1	0	0
10:50327204-50344345	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
10:50433475-50466932	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0
10:50433475-50519921	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0
10:50433475-50590247	0	0	4	0	0	0	0	1	2	0	0	3	2	0	0
10:50460672-50590247	0	1	0	0	0	0	0	0	1	2	1	0	0	0	0
10:52054483-52161963	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0
10:52271349-52272481	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
10:52280788-52290290	1	1	2	2	0	1	4	1	2	3	0	0	1	0	0
10:55575048-55578517	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0
10:55575649-55578517	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0
10:5648969-5653050	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
10:5699524-5714207	4	0	0	6	0	2	2	2	8	6	2	5	3	2	1
10:5709529-5712918	0	1	0	0	1	0	0	0	2	0	0	0	2	0	0
10:5709529-5714207	0	0	2	0	1	0	0	0	1	1	0	0	0	0	0
10:5720543-5727123	1	0	0	1	0	0	0	0	0	0	0	0	2	0	0
10:5739617-5742526	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
10:5773841-5800705	1	0	1	4	0	0	1	0	1	5	0	0	3	0	2
10:5785141-5800705	2	0	1	1	0	0	2	3	1	3	2	4	2	1	3
10:5794884-5800705	2	2	6	4	1	0	2	4	3	4	1	5	8	3	0
10:5796762-5800705	0	0	0	2	0	0	1	0	0	1	1	0	1	0	0
10:5956378-5963841	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0
10:5959753-5960567	0	4	0	1	0	1	0	0	0	0	0	0	0	0	0
10:5963062-5963171	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
10:60084601-60085253	0	0	1	0	0	0	2	0	2	0	0	0	0	0	0
10:60084601-60088358	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0
